customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0739,Michaela Welch,8340584.73,40,260,20851.461825
CUST0379,Melissa Luna,7740043.76,48,223,18000.10176744186
CUST0204,Christopher Smith,7499064.67,50,692,15721.309580712788
CUST0292,James Reid,7227832.45,53,208,15746.91165577342
CUST0759,Wesley Johns,6425086.21,43,651,18305.08891737892
CUST0505,Steven Lopez,6390921.01,52,204,14793.79863425926
CUST0482,Hailey Mcclain,6238295.26,48,304,13924.766205357142
CUST0006,Aaron Bowen,6233359.19,44,375,16984.629945504086
CUST0031,Michelle Branch,6137430.36,37,731,17048.417666666668
CUST0487,Tracie Massey,6022524.21,39,154,18879.386238244515
CUST0401,Lisa Simpson,5926502.85,43,581,15235.225835475578
CUST0181,Mary Baker,5905998.79,38,21,18808.913343949043
CUST0742,Elizabeth Johnson,5886027.89,46,671,15288.38412987013
CUST0949,Jessica Miller,5851636.24,55,353,13640.177715617716
CUST0022,Jason Perry,5795351.03,52,182,13415.164421296296
CUST0919,Timothy Sharp,5770361.0,44,132,13771.744630071598
CUST0616,Russell Erickson,5751822.56,48,540,17017.22650887574
CUST0620,Eric George,5727779.75,51,527,13320.418023255814
CUST0445,Thomas Williams,5667506.25,41,145,16427.554347826088
CUST0873,Steven Curry,5613008.16,51,508,12727.909659863946
CUST0933,Kimberly Potter,5603055.55,46,396,13060.735547785547
CUST0152,Amanda Glover,5599121.4,46,570,14619.11592689295
CUST0216,Luis Cunningham,5578052.77,41,636,14229.726454081632
CUST0911,Ronald Tran,5469990.83,44,485,15673.326160458453
CUST0477,Samantha Strong,5465638.65,47,679,15140.273268698062
CUST0308,Paige Johnson,5463978.34,39,24,16457.76608433735
CUST0383,Tracy Stone,5395233.62,44,643,14050.087552083332
CUST0745,Sherry Santiago,5395162.36,36,700,15868.124588235294
CUST0532,Eric Moore,5343089.21,47,461,13225.468341584157
CUST0211,Angela Hurley,5328537.56,38,594,13321.3439
CUST0382,Christopher Burns,5325818.65,42,315,15572.569152046784
CUST0622,Teresa Lee,5302751.63,51,149,11234.643283898306
CUST0256,Mathew Turner,5296756.28,46,25,18264.67682758621
CUST0244,Valerie Powell,5238652.26,49,100,13713.749371727748
CUST0100,Jason Parrish,5196513.24,49,721,12056.875266821346
CUST0884,Jamie Thompson,5193361.62,50,660,13595.187486910994
CUST0107,Brandi Ferguson,5190336.9,45,26,12014.66875
CUST0433,Nicole Henderson,5149096.38,39,82,15370.43695522388
