customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Zachary,Moore,katrina20@example.net,7249226013,2024-08-28,Barnesfurt,Massachusetts,India,46-60
CUST0002,Mario,Diaz,woodsgina@example.org,876-264-0295,2023-06-02,Williemouth,Ohio,India,18-25
CUST0003,John,Scott,timothy18@example.net,889-800-7397,2023-10-10,Simmonsberg,Wisconsin,India,26-35
CUST0004,Cheyenne,Rogers,todd04@example.net,285.230.6015x1891,2024-02-26,Katherineside,Alaska,India,46-60
CUST0005,Courtney,Murray,jeffreymorrison@example.org,763-816-1944,2023-08-15,Greenberg,New Jersey,India,46-60
CUST0006,Alexis,Bennett,vsmith@example.com,001-621-735-3806x270,2023-01-07,Codyport,South Dakota,India,36-45
CUST0007,Paul,Thomas,rodrigueztara@example.org,621-779-7661,2024-11-17,Paulastad,Texas,India,26-35
CUST0008,Jennifer,Mcdonald,cking@example.net,998.886.3266x57405,2023-12-07,Desireemouth,Illinois,India,36-45
CUST0009,Logan,Mitchell,rnelson@example.net,+1-940-862-2147x1163,2023-06-22,West Lisa,Virginia,India,18-25
CUST0010,Omar,Leonard,susan04@example.org,702-714-6021x10894,2023-08-13,Port Jessicaville,South Dakota,India,46-60
CUST0011,Justin,Willis,sandrafischer@example.org,938.268.3903,2024-08-29,North Lindseystad,Missouri,India,36-45
CUST0012,Robert,Meyer,stephaniehicks@example.com,(985)521-4193x6928,2025-11-28,West Travis,Illinois,India,26-35
CUST0013,Robert,Kelly,sarahpalmer@example.org,(426)606-7671,2024-08-03,North Monica,Massachusetts,India,18-25
CUST0014,Karen,Mckay,lphillips@example.org,633-454-0610x29319,2024-05-07,South Timothy,Kentucky,India,26-35
CUST0015,Alexander,Leblanc,vdougherty@example.com,397-339-2033x69855,2025-04-29,Benjaminburgh,New York,India,46-60
CUST0016,Christopher,Becker,jennifersmith@example.org,952.757.8160x1137,2024-07-19,West Teresaberg,Montana,India,18-25
CUST0017,Stephanie,Peterson,crystal56@example.org,001-706-355-6012x04449,2023-04-05,South Carmen,Ohio,India,18-25
CUST0018,Clinton,Horton,hannawillie@example.com,+1-416-300-1445x255,2024-03-31,North Brittany,Massachusetts,India,46-60
CUST0019,Jake,Pitts,wscott@example.net,001-442-327-0338x3863,2024-07-28,Port Colleen,Hawaii,India,36-45
CUST0020,Hailey,Miller,pvelasquez@example.com,300-554-3952,2024-03-23,Allentown,South Carolina,India,46-60
CUST0021,Dustin,Harper,tlamb@example.org,+1-265-297-8146x0574,2023-04-22,West Brandonshire,California,India,26-35
CUST0022,Janice,Gutierrez,hannah95@example.com,001-613-575-2232x74921,2025-04-11,Williamstad,New Jersey,India,60+
CUST0023,Mercedes,Maldonado,griggs@example.net,001-761-728-7745x71457,2024-09-26,East Leah,Delaware,India,26-35
CUST0024,Tristan,Bennett,craig08@example.com,(417)601-2790x764,2023-11-11,Jeremyhaven,Montana,India,36-45
CUST0025,Jonathan,Flowers,aphillips@example.net,242-280-3862x20569,2024-10-19,Barryhaven,Colorado,India,18-25
CUST0026,Jill,Jordan,bridgestiffany@example.net,(824)929-6867,2023-11-03,North Thomasmouth,Delaware,India,46-60
CUST0027,Michael,Marshall,kmartinez@example.com,001-800-327-7410x4779,2024-08-30,Webstermouth,North Carolina,India,46-60
CUST0028,Anna,Evans,dshah@example.org,628.614.9684x30121,2025-12-02,New Kaitlyn,South Dakota,India,60+
CUST0029,Derrick,Foster,mbecker@example.com,630.868.5393x3537,2023-09-05,South Briannaport,South Dakota,India,36-45
CUST0030,Brian,Hudson,rachelpatterson@example.net,001-760-721-6173x5268,2025-09-07,Port Sharon,Hawaii,India,18-25
CUST0031,Teresa,Mcmillan,john03@example.net,+1-969-763-0161x08774,2025-04-11,Lake Stephen,Alaska,India,60+
CUST0032,Desiree,Li,oalvarado@example.org,(584)376-0662x9374,2025-07-28,Linbury,Georgia,India,46-60
CUST0033,Cassandra,Richardson,markjohnston@example.com,446-907-4151x6405,2023-04-23,Traciton,New Jersey,India,60+
CUST0034,Kathleen,Garza,raguirre@example.com,439.945.6309x2985,2025-03-24,North Meredithland,Michigan,India,36-45
CUST0035,Nicholas,Jenkins,qclark@example.com,6098785467,2024-06-08,Parksberg,Georgia,India,18-25
CUST0036,Karen,Dunn,jenniferclark@example.org,(778)628-7587x56210,2023-06-05,South Pamela,Wyoming,India,60+
CUST0037,Robert,Wu,andrewphillips@example.com,001-350-337-5977x0380,2025-06-23,West Matthewbury,Louisiana,India,60+
CUST0038,Adam,Meyers,kmyers@example.com,001-261-984-2751,2023-03-21,Bradshawmouth,North Carolina,India,18-25
CUST0039,Amber,Garza,medinakimberly@example.net,750.925.4939,2023-11-26,East Mike,New Mexico,India,36-45
CUST0040,John,Brewer,stephanie15@example.org,560.925.5973x46785,2024-12-04,South Amber,Maine,India,26-35
CUST0041,Paula,Dunn,caleb05@example.net,(707)413-6681,2023-05-20,Lake Samantha,Massachusetts,India,36-45
CUST0042,Brandon,Crane,jeanneallen@example.com,3637845657,2024-08-15,Craigland,Ohio,India,46-60
CUST0043,Kevin,Newton,jcastro@example.org,4529928886,2023-10-07,North Loganland,Illinois,India,26-35
CUST0044,Amanda,Wallace,kelsey45@example.net,+1-711-442-0183,2023-03-03,Richardmouth,Illinois,India,46-60
CUST0045,Kathy,Clark,johnny67@example.org,562.774.3256x515,2025-02-07,Jenningsfurt,Vermont,India,26-35
CUST0046,Robert,Patrick,jimenezkyle@example.com,674.219.9626,2023-03-03,Devinland,Nebraska,India,46-60
CUST0047,Mark,Gutierrez,brownmelissa@example.com,933-752-9126x4231,2024-10-26,Bakermouth,Georgia,India,60+
CUST0048,Jay,Richardson,jpierce@example.org,547-361-7824,2023-08-18,North Michaelmouth,Idaho,India,26-35
CUST0049,Karen,Brown,caitlinstanton@example.org,001-567-414-4138x06924,2023-02-08,Port Devin,New Jersey,India,18-25
CUST0050,Dana,Garcia,rodriguezmegan@example.com,001-822-586-4067,2023-07-23,Martinhaven,Georgia,India,26-35
CUST0051,Reginald,Davis,christy56@example.org,732.521.5137x85272,2024-06-02,Port Julie,Alabama,India,36-45
CUST0052,Tracy,Alexander,michellefox@example.org,(205)842-4750,2023-07-27,Mooretown,Ohio,India,18-25
CUST0053,David,Williams,katherine40@example.net,(282)836-1150,2025-10-19,New Cristianside,Nevada,India,26-35
CUST0054,David,Lee,melissa00@example.com,+1-348-418-0176,2023-08-09,Smithchester,Arkansas,India,18-25
CUST0055,Andrew,Harding,lisa03@example.net,(609)227-3902x27112,2025-07-26,Port Joeview,Connecticut,India,36-45
CUST0056,Daniel,Harper,andresjames@example.com,001-951-731-9493x883,2025-11-19,West Andrea,Maine,India,18-25
CUST0057,Brian,Rosales,coopermatthew@example.org,(873)249-8174x8101,2023-02-11,Maynardfort,California,India,36-45
CUST0058,David,Cruz,mary55@example.net,630-729-7738x672,2024-08-25,Reevesfurt,Georgia,India,60+
CUST0059,Amy,Hill,gonzalezjason@example.net,274-588-5205x594,2024-11-13,East Michael,Kansas,India,18-25
